Время	Итерации	Количество	Максимальное
0,13	2898,00	100,00	978525828,00
0,42	5698,00	200,00	999124630,00
0,38	8498,00	300,00	999237709,00
0,49	11298,00	400,00	996565302,00
0,56	14098,00	500,00	999767887,00
0,95	16898,00	600,00	999791005,00
1,37	19698,00	700,00	999780470,00
0,50	22498,00	800,00	999558441,00
0,17	25298,00	900,00	998990783,00
0,20	28098,00	1000,00	998156497,00
0,18	30898,00	1100,00	999730336,00
0,19	33698,00	1200,00	999975028,00
0,21	36498,00	1300,00	998714297,00
0,23	39298,00	1400,00	999294344,00
0,25	42098,00	1500,00	998262589,00
0,26	44898,00	1600,00	999500730,00
0,47	47698,00	1700,00	999670686,00
0,37	50498,00	1800,00	999901993,00
0,45	53298,00	1900,00	999278272,00
0,52	56098,00	2000,00	999150092,00
0,54	58898,00	2100,00	998760825,00
0,51	61698,00	2200,00	999897549,00
0,53	64498,00	2300,00	999549001,00
0,49	67298,00	2400,00	999711152,00
0,51	70098,00	2500,00	998868801,00
0,23	72898,00	2600,00	999584516,00
0,26	75698,00	2700,00	998656975,00
0,48	78498,00	2800,00	998808902,00
0,26	81298,00	2900,00	999731798,00
0,27	84098,00	3000,00	999624760,00
0,28	86898,00	3100,00	999748922,00
0,29	89698,00	3200,00	999907098,00
0,33	92498,00	3300,00	999886066,00
0,33	95298,00	3400,00	999997487,00
0,35	98098,00	3500,00	999754217,00
0,35	100898,00	3600,00	999930678,00
0,38	103698,00	3700,00	999982963,00
0,38	106498,00	3800,00	999980509,00
0,30	109298,00	3900,00	999972193,00
0,27	112098,00	4000,00	999788245,00
0,27	114898,00	4100,00	999996258,00
0,27	117698,00	4200,00	999740103,00
0,30	120498,00	4300,00	999892336,00
0,28	123298,00	4400,00	999728135,00
0,32	126098,00	4500,00	999993150,00
0,30	128898,00	4600,00	999940642,00
0,36	131698,00	4700,00	999827510,00
0,66	134498,00	4800,00	999954574,00
0,64	137298,00	4900,00	999973659,00
0,66	140098,00	5000,00	999750758,00
0,66	142898,00	5100,00	999947660,00
0,45	145698,00	5200,00	999968910,00
0,34	148498,00	5300,00	999909306,00
0,33	151298,00	5400,00	999868595,00
0,55	154098,00	5500,00	999638470,00
0,36	156898,00	5600,00	999995614,00
0,37	159698,00	5700,00	999911812,00
0,35	162498,00	5800,00	999941830,00
0,43	165298,00	5900,00	999907389,00
0,51	168098,00	6000,00	999913986,00
0,46	170898,00	6100,00	999789388,00
0,88	173698,00	6200,00	999873775,00
1,17	176498,00	6300,00	999851953,00
0,73	179298,00	6400,00	999859793,00
0,49	182098,00	6500,00	999964652,00
0,36	184898,00	6600,00	999924838,00
0,36	187698,00	6700,00	999777108,00
0,34	190498,00	6800,00	999953844,00
0,34	193298,00	6900,00	999704860,00
0,35	196098,00	7000,00	999920591,00
0,36	198898,00	7100,00	999915601,00
0,37	201698,00	7200,00	999902299,00
0,38	204498,00	7300,00	999923481,00
0,48	207298,00	7400,00	999713222,00
0,52	210098,00	7500,00	999962649,00
0,51	212898,00	7600,00	999942579,00
0,53	215698,00	7700,00	999700749,00
0,54	218498,00	7800,00	999806973,00
0,55	221298,00	7900,00	999824107,00
0,56	224098,00	8000,00	999934630,00
0,58	226898,00	8100,00	999834125,00
0,74	229698,00	8200,00	999991454,00
0,60	232498,00	8300,00	999838826,00
0,84	235298,00	8400,00	999968028,00
0,64	238098,00	8500,00	999966201,00
0,64	240898,00	8600,00	999932172,00
0,68	243698,00	8700,00	999940006,00
0,54	246498,00	8800,00	999986318,00
0,57	249298,00	8900,00	999997263,00
0,56	252098,00	9000,00	999859974,00
0,62	254898,00	9100,00	999995106,00
0,58	257698,00	9200,00	999878219,00
0,65	260498,00	9300,00	999980121,00
0,58	263298,00	9400,00	999954491,00
0,58	266098,00	9500,00	999952430,00
0,59	268898,00	9600,00	999925087,00
0,60	271698,00	9700,00	999983160,00
0,60	274498,00	9800,00	999999518,00
0,62	277298,00	9900,00	999985502,00
0,63	280098,00	10000,00	999949401,00
